country,iso3,match_id,utc_kickoff,local_kickoff,timezone,population,viewers,viewer_ratio,stage,match_importance,base_interest,sleep_loss_per_viewer,total_sleep_loss_hours,working_pop_ratio,lost_productive_hours,gdp_per_capita,gdp_per_hour,economic_loss
Ghana,GHA,537410,2026-06-17T23:00:00+00:00,2026-06-17T23:00:00+00:00,Africa/Accra,34427414,3442741,0.1,group,1.0,0.1,2.0,6885482.0,0.58524,4029659.48568,2390.77237652715,1.195386188263575,4816999.292587173
Ghana,GHA,537411,2026-06-23T20:00:00+00:00,2026-06-23T20:00:00+00:00,Africa/Accra,34427414,3442741,0.1,group,1.0,0.1,0.0,0.0,0.58524,0.0,2390.77237652715,1.195386188263575,0.0
Ghana,GHA,537414,2026-06-27T21:00:00+00:00,2026-06-27T21:00:00+00:00,Africa/Accra,34427414,3442741,0.1,group,1.0,0.1,0.0,0.0,0.58524,0.0,2390.77237652715,1.195386188263575,0.0
Haiti,HTI,537340,2026-06-14T01:00:00+00:00,2026-06-13T21:00:00-04:00,America/Port-au-Prince,11772557,1177255,0.1,group,1.0,0.1,0.0,0.0,0.6393,0.0,2142.62330526788,1.07131165263394,0.0
Haiti,HTI,537341,2026-06-20T00:30:00+00:00,2026-06-19T20:30:00-04:00,America/Port-au-Prince,11772557,1177255,0.1,group,1.0,0.1,0.0,0.0,0.6393,0.0,2142.62330526788,1.07131165263394,0.0
Haiti,HTI,537344,2026-06-24T22:00:00+00:00,2026-06-24T18:00:00-04:00,America/Port-au-Prince,11772557,1177255,0.1,group,1.0,0.1,0.0,0.0,0.6393,0.0,2142.62330526788,1.07131165263394,0.0
"Iran, Islamic Republic of",IRN,537364,2026-06-16T01:00:00+00:00,2026-06-16T04:30:00+03:30,Asia/Tehran,91567738,9156773,0.1,group,1.0,0.1,2.0,18313546.0,0.40965,7502144.1189,5190.16959024821,2.5950847951241047,19468700.133787114
"Iran, Islamic Republic of",IRN,537365,2026-06-21T19:00:00+00:00,2026-06-21T22:30:00+03:30,Asia/Tehran,91567738,9156773,0.1,group,1.0,0.1,1.5,13735159.5,0.40965,5626608.089175,5190.16959024821,2.5950847951241047,14601525.100340335
"Iran, Islamic Republic of",IRN,537368,2026-06-27T03:00:00+00:00,2026-06-27T06:30:00+03:30,Asia/Tehran,91567738,9156773,0.1,group,1.0,0.1,0.5,4578386.5,0.40965,1875536.029725,5190.16959024821,2.5950847951241047,4867175.033446779
Iraq,IRQ,537392,2026-06-16T22:00:00+00:00,2026-06-17T01:00:00+03:00,Asia/Baghdad,46042015,4604201,0.1,group,1.0,0.1,2.0,9208402.0,0.41533000000000003,3824525.6026600003,6073.61032342708,3.03680516171354,11614339.091263477
Iraq,IRQ,537393,2026-06-22T21:00:00+00:00,2026-06-23T00:00:00+03:00,Asia/Baghdad,46042015,4604201,0.1,group,1.0,0.1,2.0,9208402.0,0.41533000000000003,3824525.6026600003,6073.61032342708,3.03680516171354,11614339.091263477
Iraq,IRQ,537396,2026-06-26T19:00:00+00:00,2026-06-26T22:00:00+03:00,Asia/Baghdad,46042015,4604201,0.1,group,1.0,0.1,1.0,4604201.0,0.41533000000000003,1912262.8013300002,6073.61032342708,3.03680516171354,5807169.545631738
Japan,JPN,537357,2026-06-14T20:00:00+00:00,2026-06-15T05:00:00+09:00,Asia/Tokyo,123975371,12397537,0.1,group,1.0,0.1,2.0,24795074.0,0.63448,15731978.551520001,32487.0778047567,16.24353890237835,255543005.61299697
Japan,JPN,537360,2026-06-21T04:00:00+00:00,2026-06-21T13:00:00+09:00,Asia/Tokyo,123975371,12397537,0.1,group,1.0,0.1,0.0,0.0,0.63448,0.0,32487.0778047567,16.24353890237835,0.0
Japan,JPN,537362,2026-06-25T23:00:00+00:00,2026-06-26T08:00:00+09:00,Asia/Tokyo,123975371,12397537,0.1,group,1.0,0.1,0.0,0.0,0.63448,0.0,32487.0778047567,16.24353890237835,0.0
Jordan,JOR,537398,2026-06-17T04:00:00+00:00,2026-06-17T07:00:00+03:00,Asia/Amman,11552876,1155287,0.1,group,1.0,0.1,0.0,0.0,0.40052,0.0,4618.09592498567,2.309047962492835,0.0
Jordan,JOR,537400,2026-06-23T03:00:00+00:00,2026-06-23T06:00:00+03:00,Asia/Amman,11552876,1155287,0.1,group,1.0,0.1,1.0,1155287.0,0.40052,462715.54923999996,4618.09592498567,2.309047962492835,1068432.3961863748
Jordan,JOR,537401,2026-06-28T02:00:00+00:00,2026-06-28T05:00:00+03:00,Asia/Amman,11552876,1155287,0.1,group,1.0,0.1,2.0,2310574.0,0.40052,925431.0984799999,4618.09592498567,2.309047962492835,2136864.7923727497
"Korea, Republic of",KOR,537328,2026-06-12T02:00:00+00:00,2026-06-12T11:00:00+09:00,Asia/Seoul,51751065,5175106,0.1,group,1.0,0.1,0.0,0.0,0.64351,0.0,36238.639908315,18.1193199541575,0.0
